id,Background Category,Description,Reference Image
70,Directional Texture,Impasto oil painting of ocean waves.,070_directional_texture.png
71,Directional Texture,Detailed pencil sketch of a clock.,071_directional_texture.png
72,Directional Texture,Ukiyo-e style Great Wave.,072_directional_texture.png
73,Directional Texture,Fluid marble texture with gold veins.,073_directional_texture.png
74,Directional Texture,Coffee latte art foam pattern.,074_directional_texture.png
75,Directional Texture,Green aurora lights in the sky.,075_directional_texture.png
76,Directional Texture,Lava lamp wax bubbles.,076_directional_texture.png
77,Directional Texture,Reflection in a shattered mirror.,077_directional_texture.png
78,Directional Texture,Low poly 3D landscape.,078_directional_texture.png
79,Directional Texture,Colorful stained glass light spots.,079_directional_texture.png
80,Directional Texture,Silk fabric blowing in wind.,080_directional_texture.png
81,Directional Texture,Abstract fractal geometric pattern.,081_directional_texture.png
82,Directional Texture,Thermal camera view of a city.,082_directional_texture.png
83,Directional Texture,Vaporwave sunset with grid.,083_directional_texture.png
84,Directional Texture,Rough charcoal portrait sketch.,084_directional_texture.png
85,Directional Texture,Psychedelic kaleidoscope pattern.,085_directional_texture.png
86,Directional Texture,Flowing liquid metal surface.,086_directional_texture.png
87,Directional Texture,8-bit pixel art landscape.,087_directional_texture.png
88,Directional Texture,Impressionist sunrise painting.,088_directional_texture.png
89,Directional Texture,Long exposure traffic light trails.,089_directional_texture.png
90,Directional Texture,Melted flowing crayon colors.,090_directional_texture.png
91,Directional Texture,Cyanotype blue plant print.,091_directional_texture.png
92,Directional Texture,Digital glitch art texture.,092_directional_texture.png
93,Directional Texture,Sand art flowing lines.,093_directional_texture.png
94,Directional Texture,Alcohol ink fluid art.,094_directional_texture.png
95,Directional Texture,Black and white manga speed lines.,095_directional_texture.png
96,Directional Texture,Colorful nebula gas clouds.,096_directional_texture.png
97,Low-Frequency Smooth Texture,Smooth abstract beige curves with soft shadows.,097_low_frequency_smooth_texture.png
98,Low-Frequency Smooth Texture,Pristine white snowfield with gentle slopes.,098_low_frequency_smooth_texture.png
99,Low-Frequency Smooth Texture,Calm lake with subtle water ripples.,099_low_frequency_smooth_texture.png
100,Low-Frequency Smooth Texture,Blue sky with soft shapeless clouds.,100_low_frequency_smooth_texture.png
101,Low-Frequency Smooth Texture,Soft diffuse shadows on a curved white wall.,101_low_frequency_smooth_texture.png
102,Low-Frequency Smooth Texture,Foggy lake with varying mist density.,102_low_frequency_smooth_texture.png
103,Low-Frequency Smooth Texture,Softly curved white paper sheet.,103_low_frequency_smooth_texture.png
104,Low-Frequency Smooth Texture,Black smooth silk fabric with flowing folds.,104_low_frequency_smooth_texture.png
105,Low-Frequency Smooth Texture,Infinity pool with gentle water movement.,105_low_frequency_smooth_texture.png
106,Low-Frequency Smooth Texture,Pink and orange sunset gradient sky.,106_low_frequency_smooth_texture.png
107,Low-Frequency Smooth Texture,Swirling dense gray fog.,107_low_frequency_smooth_texture.png
108,Low-Frequency Smooth Texture,Smooth concrete wall with soft spotlight.,108_low_frequency_smooth_texture.png
109,Low-Frequency Smooth Texture,A large pool of white milk with gentle waves.,109_low_frequency_smooth_texture.png
110,Low-Frequency Smooth Texture,Snow-covered smooth rolling roof.,110_low_frequency_smooth_texture.png
111,Low-Frequency Smooth Texture,Smooth ceramic surface with soft diffuse light reflections.,111_low_frequency_smooth_texture.png
112,Low-Frequency Smooth Texture,Undulating smooth matte clay surface.,112_low_frequency_smooth_texture.png
113,Low-Frequency Smooth Texture,Polished concrete floor with blurred reflections.,113_low_frequency_smooth_texture.png
114,Low-Frequency Smooth Texture,White plaster sphere with soft shading.,114_low_frequency_smooth_texture.png
115,Low-Frequency Smooth Texture,Abstract green bokeh background.,115_low_frequency_smooth_texture.png
116,Low-Frequency Smooth Texture,Soft melting candle wax flow.,116_low_frequency_smooth_texture.png
117,Low-Frequency Smooth Texture,Curved white concrete architecture.,117_low_frequency_smooth_texture.png
118,Low-Frequency Smooth Texture,Soft beige matte silk fabric folds with gentle gradients.,118_low_frequency_smooth_texture.png
119,Low-Frequency Smooth Texture,Smooth rolling hills covered in snow.,119_low_frequency_smooth_texture.png
120,Low-Frequency Smooth Texture,Soft white duvet with gentle flowing undulations.,120_low_frequency_smooth_texture.png
121,Low-Frequency Smooth Texture,Soft hazy smoke rising and swirling in dark background.,121_low_frequency_smooth_texture.png
122,Low-Frequency Smooth Texture,Surface of melted chocolate with swirls.,122_low_frequency_smooth_texture.png
123,Low-Frequency Smooth Texture,Blurred view through frosted glass.,123_low_frequency_smooth_texture.png
124,Low-Frequency Smooth Texture,Thick flowing honey texture backlit with soft glow.,124_low_frequency_smooth_texture.png
125,Low-Frequency Smooth Texture,Solar eclipse corona soft glow.,125_low_frequency_smooth_texture.png
126,Low-Frequency Smooth Texture,Dense white morning fog banks.,126_low_frequency_smooth_texture.png
127,Low-Frequency Smooth Texture,Wavy smooth matte silicone surface.,127_low_frequency_smooth_texture.png
128,Low-Frequency Smooth Texture,Blurred city lights bokeh.,128_low_frequency_smooth_texture.png
